No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,Air Pollution Level (PM2.5),Air Pollution Level (PM10)
1,2013,3,1,0,9.0,9.0,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,0.0,WNW,2.0,Tidak Berbahaya,Tidak Berbahaya
2,2013,3,1,1,11.0,11.0,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,0.0,WNW,4.4,Tidak Berbahaya,Tidak Berbahaya
3,2013,3,1,2,8.0,8.0,7.0,16.0,200.0,59.0,-0.6,1022.6,-19.7,0.0,WNW,4.7,Tidak Berbahaya,Tidak Berbahaya
4,2013,3,1,3,8.0,8.0,3.0,16.0,200.0,59.0,-0.7,1023.5,-20.9,0.0,NW,2.6,Tidak Berbahaya,Tidak Berbahaya
5,2013,3,1,4,8.0,8.0,3.0,16.0,300.0,36.0,-0.9,1024.1,-21.7,0.0,WNW,2.5,Tidak Berbahaya,Tidak Berbahaya
6,2013,3,1,5,10.0,10.0,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,0.0,NE,2.0,Tidak Berbahaya,Tidak Berbahaya
7,2013,3,1,6,8.0,8.0,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,0.0,NE,2.3,Tidak Berbahaya,Tidak Berbahaya
8,2013,3,1,7,8.0,8.0,8.0,20.0,300.0,54.0,-0.8,1026.7,-19.9,0.0,NNE,2.0,Tidak Berbahaya,Tidak Berbahaya
9,2013,3,1,8,3.0,6.0,9.0,23.0,300.0,50.0,0.4,1027.3,-19.4,0.0,NE,2.7,Tidak Berbahaya,Tidak Berbahaya
10,2013,3,1,9,3.0,6.0,10.0,18.0,300.0,56.0,1.5,1027.4,-19.7,0.0,ENE,2.9,Tidak Berbahaya,Tidak Berbahaya
11,2013,3,1,10,3.0,6.0,11.0,15.0,300.0,61.0,2.1,1027.3,-21.2,0.0,NNE,4.8,Tidak Berbahaya,Tidak Berbahaya
12,2013,3,1,11,3.0,6.0,9.0,14.0,300.0,62.0,3.1,1027.2,-21.1,0.0,N,4.1,Tidak Berbahaya,Tidak Berbahaya
13,2013,3,1,12,3.0,6.0,8.0,10.0,300.0,67.0,4.7,1026.3,-20.6,0.0,ESE,1.6,Tidak Berbahaya,Tidak Berbahaya
14,2013,3,1,13,3.0,9.0,7.0,9.0,300.0,70.0,5.5,1025.2,-20.0,0.0,NE,3.1,Tidak Berbahaya,Tidak Berbahaya
15,2013,3,1,14,3.0,14.0,7.0,8.0,300.0,72.0,6.6,1024.9,-19.9,0.0,NW,2.1,Tidak Berbahaya,Tidak Berbahaya
16,2013,3,1,15,12.0,14.0,5.0,7.0,200.0,73.0,6.1,1024.7,-19.5,0.0,NE,2.4,Tidak Berbahaya,Tidak Berbahaya
